Nomes,Emails,CPFs,Telefones,Referencias
Silva,joaosilva@email.com,123.456.789-10,(12)3456-7890,carros
Meu,mariasouza@email.com,987.654.321-00,(98)76543-2109,carros
Outro,joao.silva@email.com,123.456.789-10,(87) 65432-1098,carros
Maria,pauloroberto@email.com,987.654.321-00,(45)67890-1234,carros
Souza,mariana.oliveira@email.com,654.321.987-00,(23)45678-9012,carros
Maria,andrealmeida@email.com,567.890.123-45,(12)3456-7890,motos
Meu,carla.santos@email.com,234.567.890-12,(98)76543-2109,motos
Silva,teste1@email.com,111.111.111-11,(87)65432-1098,motos
Meu,exemplo@teste.com.br,222.222.222-22,(45)67890-1234,motos
Meu,email_exemplo123@email.com,666.666.666-64,(23)45678-9012,
Gosto,contato@email.com,123.456.789-10,(11) 11111-1111,
Sempre,email_teste@teste.com,987.654.321-00,(22) 22222-2222,
Meu,joao.silva@email.com,234.567.890-12,(66) 66666-6666,
Paulo,maria.oliveira@email.com,567.890.123-45,(12)3456-7890,
Roberto,carlos.santos@email.com,,(98)76543-2109,
Seu,andre.almeida@email.com,,(23)45678-9012,
Mariana,,,(45)67890-1234,
Oliveira,,,,
Ela,,,,
Fica,,,,
Almeida,,,,
Carla,,,,
Santos,,,,
Ela,,,,
Preciso,,,,
Gosto,,,,
Daniel,,,,
Lucas,,,,
Thiago,,,,
Meu,,,,
Silva,,,,
Meu,,,,
Meu,,,,
Gosto,,,,
Outro,,,,
Maria,,,,
Oliveira,,,,
Seu,,,,
Ela,,,,
Carlos,,,,
Santos,,,,
Seu,,,,
Ele,,,,
Almeida,,,,
Seu,,,,
Ele,,,,
